customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,r_j_score,f_j_score,m_j_score,rfm_j_score,rfm_segment,rfm_j_segment,kmeans_cluster,kmeans_segment,HDBSCAN_cluster,HDBSCAN_segment
126,11.0,3,1096.46,1,4,4,144,1,4,4,144,5 recent customers,5 recent customers,8,8,-1,6 noise
127,23.0,10,3993.71,2,1,2,212,1,1,2,112,2 loyal customers,2 loyal customers,0,5,-1,6 noise
128,137.0,4,2193.0600000000004,4,4,3,443,3,3,3,333,7 lost cheap customers,4 almost lost,1,7,-1,6 noise
129,178.0,4,2753.7499999999995,4,4,3,443,3,3,3,333,7 lost cheap customers,4 almost lost,4,6,-1,6 noise
130,76.0,2,1779.58,3,4,4,344,2,4,4,244,7 lost cheap customers,5 recent customers,8,8,0,5 lost customers
131,205.0,6,5494.910000000001,4,2,1,421,4,2,2,422,3 big spenders,3 big spenders,6,3,-1,6 noise
132,7.0,6,2780.7200000000003,1,2,3,123,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
133,26.0,5,803.89,2,3,4,234,1,3,4,134,5 recent customers,5 recent customers,3,9,-1,6 noise
134,14.0,6,2946.42,1,2,2,122,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
135,115.0,7,4549.5,4,2,1,421,3,2,2,322,3 big spenders,3 big spenders,7,4,-1,6 noise
136,20.0,8,3543.2,2,1,2,212,1,2,3,123,2 loyal customers,2 loyal customers,0,5,4,4 almost lost
137,27.0,5,1496.4499999999998,2,3,4,234,1,3,4,134,5 recent customers,5 recent customers,8,8,0,5 lost customers
138,64.0,7,3377.12,3,2,2,322,2,2,3,223,3 big spenders,2 loyal customers,0,5,4,4 almost lost
139,26.0,9,5161.44,2,1,1,211,1,1,2,112,2 loyal customers,2 loyal customers,6,3,-1,6 noise
140,3.0,6,2699.8999999999996,1,2,3,123,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
141,159.0,3,2138.3500000000004,4,4,3,443,3,4,3,343,7 lost cheap customers,7 lost cheap customers,1,7,-1,6 noise
142,4.0,11,3917.34,1,1,2,112,1,1,2,112,2 loyal customers,2 loyal customers,0,5,3,3 good - recent
143,13.0,4,2474.77,1,4,3,143,1,3,3,133,5 recent customers,5 recent customers,1,7,4,4 almost lost
144,6.0,8,4888.02,1,1,1,111,1,2,2,122,1 best customers,2 loyal customers,7,4,-1,6 noise
145,28.0,7,3140.3,2,2,2,222,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
146,194.0,2,217.05999999999995,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
147,34.0,6,5034.16,2,2,1,221,1,2,2,122,2 loyal customers,2 loyal customers,7,4,1,2 best - high spend
148,43.0,5,3268.4,2,3,2,232,1,3,3,133,3 big spenders,5 recent customers,4,6,4,4 almost lost
149,18.0,4,1680.6599999999999,2,4,4,244,1,3,4,134,5 recent customers,5 recent customers,8,8,0,5 lost customers
150,75.0,4,2446.51,3,4,3,343,2,3,3,233,7 lost cheap customers,5 recent customers,1,7,4,4 almost lost
151,0.0,7,5665.410000000001,1,2,1,121,1,2,1,121,2 loyal customers,2 loyal customers,6,3,-1,6 noise
152,158.0,2,1966.88,4,4,3,443,3,4,3,343,7 lost cheap customers,7 lost cheap customers,1,7,-1,6 noise
153,64.0,7,5522.51,3,2,1,321,2,2,2,222,3 big spenders,2 loyal customers,6,3,-1,6 noise
154,23.0,5,683.6300000000001,2,3,4,234,1,3,4,134,5 recent customers,5 recent customers,3,9,-1,6 noise
155,8.0,3,1088.42,1,4,4,144,1,4,4,144,5 recent customers,5 recent customers,8,8,-1,6 noise
156,16.0,5,3095.3699999999994,1,3,2,132,1,3,3,133,3 big spenders,5 recent customers,4,6,4,4 almost lost
157,135.0,3,294.0099999999999,4,4,4,444,3,4,4,344,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
158,65.0,6,4627.35,3,2,1,321,2,2,2,222,3 big spenders,2 loyal customers,7,4,-1,6 noise
159,66.0,6,2935.3700000000003,3,2,2,322,2,2,3,223,3 big spenders,2 loyal customers,4,6,4,4 almost lost
160,93.0,2,2614.1600000000003,4,4,3,443,2,4,3,243,7 lost cheap customers,5 recent customers,4,6,4,4 almost lost
161,159.0,1,459.46000000000015,4,4,4,444,3,4,4,344,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
162,98.0,3,1329.61,4,4,4,444,2,4,4,244,7 lost cheap customers,5 recent customers,8,8,-1,6 noise
163,114.0,2,1101.28,4,4,4,444,3,4,4,344,7 lost cheap customers,7 lost cheap customers,8,8,-1,6 noise
164,198.0,3,786.1400000000001,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
165,8.0,8,6107.04,1,1,1,111,1,2,1,121,1 best customers,2 loyal customers,6,3,-1,6 noise
166,63.0,7,4063.6599999999994,3,2,2,322,2,2,2,222,3 big spenders,2 loyal customers,0,5,-1,6 noise
167,14.0,9,5993.34,1,1,1,111,1,1,1,111,1 best customers,1 best customers,6,3,-1,6 noise
168,136.0,8,5800.599999999999,4,1,1,411,3,2,1,321,3 big spenders,3 big spenders,6,3,-1,6 noise
169,61.0,3,696.26,3,4,4,344,2,4,4,244,7 lost cheap customers,5 recent customers,3,9,-1,6 noise
170,234.0,3,1779.68,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,8,8,-1,6 noise
171,18.0,8,4833.139999999999,2,1,1,211,1,2,2,122,2 loyal customers,2 loyal customers,7,4,1,2 best - high spend
172,11.0,7,2348.66,1,2,3,123,1,2,3,123,2 loyal customers,2 loyal customers,1,7,4,4 almost lost
173,15.0,9,6549.509999999999,1,1,1,111,1,1,1,111,1 best customers,1 best customers,2,2,-1,6 noise
174,11.0,10,7628.24,1,1,1,111,1,1,1,111,1 best customers,1 best customers,2,2,-1,6 noise
175,64.0,5,2170.54,3,3,3,333,2,3,3,233,4 almost lost,5 recent customers,1,7,4,4 almost lost
176,22.0,4,3025.5600000000004,2,4,2,242,1,3,3,133,3 big spenders,5 recent customers,4,6,4,4 almost lost
177,37.0,12,4108.5999999999985,2,1,2,212,1,1,2,112,2 loyal customers,2 loyal customers,0,5,3,3 good - recent
178,32.0,4,2184.58,2,4,3,243,1,3,3,133,5 recent customers,5 recent customers,1,7,4,4 almost lost
179,40.0,3,1814.59,2,4,3,243,1,4,4,144,5 recent customers,5 recent customers,8,8,0,5 lost customers
180,11.0,7,4065.3500000000004,1,2,2,122,1,2,2,122,2 loyal customers,2 loyal customers,0,5,3,3 good - recent
181,50.0,5,2365.2400000000002,3,3,3,333,2,3,3,233,4 almost lost,5 recent customers,1,7,4,4 almost lost
182,13.0,7,5409.120000000001,1,2,1,121,1,2,2,122,2 loyal customers,2 loyal customers,6,3,-1,6 noise
183,102.0,6,3187.8399999999997,4,2,2,422,2,2,3,223,3 big spenders,2 loyal customers,4,6,-1,6 noise
184,32.0,3,2181.3500000000004,2,4,3,243,1,4,3,143,5 recent customers,5 recent customers,1,7,4,4 almost lost
185,8.0,7,3547.6800000000003,1,2,2,122,1,2,3,123,2 loyal customers,2 loyal customers,0,5,4,4 almost lost
186,23.0,6,2166.17,2,2,3,223,1,2,3,123,2 loyal customers,2 loyal customers,1,7,4,4 almost lost
187,14.0,7,3014.88,1,2,2,122,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
188,15.0,6,2658.87,1,2,3,123,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
189,3.0,5,5329.98,1,3,1,131,1,3,2,132,3 big spenders,3 big spenders,6,3,-1,6 noise
190,29.0,4,704.2800000000002,2,4,4,244,1,3,4,134,5 recent customers,5 recent customers,3,9,-1,6 noise
191,105.0,1,834.9399999999999,4,4,4,444,3,4,4,344,7 lost cheap customers,7 lost cheap customers,3,9,-1,6 noise
192,79.0,4,1519.4700000000003,3,4,4,344,2,3,4,234,7 lost cheap customers,5 recent customers,8,8,0,5 lost customers
193,24.0,5,2551.5,2,3,3,233,1,3,3,133,5 recent customers,5 recent customers,4,6,4,4 almost lost
194,108.0,3,2608.28,4,4,3,443,3,4,3,343,7 lost cheap customers,7 lost cheap customers,4,6,-1,6 noise
195,0.0,7,9633.409999999998,1,2,1,121,1,2,1,121,2 loyal customers,2 loyal customers,5,1,-1,6 noise
196,146.0,8,3737.9999999999995,4,1,2,412,3,2,2,322,3 big spenders,3 big spenders,0,5,-1,6 noise
197,27.0,9,3651.7099999999996,2,1,2,212,1,1,2,112,2 loyal customers,2 loyal customers,0,5,4,4 almost lost
198,58.0,9,6631.870000000001,3,1,1,311,2,1,1,211,3 big spenders,2 loyal customers,2,2,-1,6 noise
199,15.0,4,2650.53,1,4,3,143,1,3,3,133,5 recent customers,5 recent customers,4,6,4,4 almost lost
200,7.0,9,7283.86,1,1,1,111,1,1,1,111,1 best customers,1 best customers,2,2,-1,6 noise
201,28.0,8,4369.02,2,1,1,211,1,2,2,122,2 loyal customers,2 loyal customers,7,4,-1,6 noise
202,18.0,3,1295.9100000000003,2,4,4,244,1,4,4,144,5 recent customers,5 recent customers,8,8,0,5 lost customers
203,11.0,5,1481.12,1,3,4,134,1,3,4,134,5 recent customers,5 recent customers,8,8,0,5 lost customers
204,27.0,8,6287.29,2,1,1,211,1,2,1,121,2 loyal customers,2 loyal customers,2,2,-1,6 noise
205,52.0,9,2008.2699999999998,3,1,3,313,2,1,3,213,4 almost lost,2 loyal customers,1,7,0,5 lost customers
206,77.0,4,3816.6499999999996,3,4,2,342,2,3,2,232,3 big spenders,3 big spenders,0,5,-1,6 noise
207,290.0,2,1430.93,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,8,8,-1,6 noise
208,27.0,5,3342.02,2,3,2,232,1,3,3,133,3 big spenders,5 recent customers,0,5,4,4 almost lost
209,107.0,5,3081.0700000000006,4,3,2,432,3,3,3,333,3 big spenders,4 almost lost,4,6,-1,6 noise
210,22.0,6,2957.0299999999997,2,2,2,222,1,2,3,123,2 loyal customers,2 loyal customers,4,6,4,4 almost lost
211,39.0,9,4090.05,2,1,2,212,1,1,2,112,2 loyal customers,2 loyal customers,0,5,3,3 good - recent
212,187.0,2,1790.41,4,4,4,444,4,4,4,444,7 lost cheap customers,7 lost cheap customers,8,8,-1,6 noise
213,28.0,10,7534.4800000000005,2,1,1,211,1,1,1,111,2 loyal customers,1 best customers,2,2,-1,6 noise
214,56.0,5,1595.7299999999998,3,3,4,334,2,3,4,234,4 almost lost,5 recent customers,8,8,0,5 lost customers
215,3.0,8,3889.3900000000003,1,1,2,112,1,2,2,122,2 loyal customers,2 loyal customers,0,5,3,3 good - recent
216,16.0,4,2152.05,1,4,3,143,1,3,3,133,5 recent customers,5 recent customers,1,7,4,4 almost lost
217,4.0,7,2118.1800000000003,1,2,3,123,1,2,3,123,2 loyal customers,2 loyal customers,1,7,4,4 almost lost
218,14.0,4,1476.17,1,4,4,144,1,3,4,134,5 recent customers,5 recent customers,8,8,0,5 lost customers
219,40.0,6,1688.33,2,2,4,224,1,2,4,124,2 loyal customers,2 loyal customers,8,8,0,5 lost customers
220,15.0,6,4304.11,1,2,1,121,1,2,2,122,2 loyal customers,2 loyal customers,7,4,2,1 best - most recent
221,18.0,6,3865.6800000000007,2,2,2,222,1,2,2,122,2 loyal customers,2 loyal customers,0,5,3,3 good - recent
222,20.0,2,1428.06,2,4,4,244,1,4,4,144,5 recent customers,5 recent customers,8,8,0,5 lost customers
223,52.0,6,4082.09,3,2,2,322,2,2,2,222,3 big spenders,2 loyal customers,0,5,3,3 good - recent
224,1.0,6,3692.0900000000006,1,2,2,122,1,2,2,122,2 loyal customers,2 loyal customers,0,5,-1,6 noise
225,37.0,3,1587.5500000000002,2,4,4,244,1,4,4,144,5 recent customers,5 recent customers,8,8,0,5 lost customers
226,116.0,2,1173.8600000000001,4,4,4,444,3,4,4,344,7 lost cheap customers,7 lost cheap customers,8,8,-1,6 noise
227,26.0,5,3906.03,2,3,2,232,1,3,2,132,3 big spenders,3 big spenders,0,5,3,3 good - recent
228,77.0,5,3719.75,3,3,2,332,2,3,2,232,3 big spenders,3 big spenders,0,5,-1,6 noise
229,60.0,5,1811.8399999999997,3,3,3,333,2,3,4,234,4 almost lost,5 recent customers,8,8,0,5 lost customers
230,36.0,11,5319.630000000001,2,1,1,211,1,1,2,112,2 loyal customers,2 loyal customers,6,3,-1,6 noise
231,45.0,4,2344.5200000000004,3,4,3,343,2,3,3,233,7 lost cheap customers,5 recent customers,1,7,4,4 almost lost
232,141.0,6,3157.5899999999997,4,2,2,422,3,2,3,323,3 big spenders,4 almost lost,4,6,-1,6 noise
233,17.0,6,2187.0899999999997,1,2,3,123,1,2,3,123,2 loyal customers,2 loyal customers,1,7,4,4 almost lost
234,11.0,9,5763.129999999999,1,1,1,111,1,1,1,111,1 best customers,1 best customers,6,3,-1,6 noise
